1321
308.305 306.328 305.41 303.509 301.817 300.059 298.116 296.003 293.824 291.642 289.524 287.533 285.497 283.386 281.114 278.904 276.558 274.137 271.621 268.932 266.312 263.863 261.733 259.631 257.19 254.578 251.224 247.083 242.428 237.548 232.475 226.825 220.987 215.585 210.027 203.385 201.57 
308.305 306.453 305.285 303.259 301.567 299.934 298.054 296.003 293.761 291.579 289.461 287.47 285.497 283.449 281.177 278.841 276.371 274.075 271.559 268.995 266.437 263.863 261.795 259.693 257.253 254.64 251.224 247.02 242.366 237.486 232.475 226.825 220.924 215.522 210.152 203.322 201.57 
308.305 306.515 305.222 303.134 301.38 299.747 297.929 295.941 293.761 291.517 289.399 287.408 285.435 283.386 281.052 278.716 276.246 274.012 271.684 269.12 266.5 263.925 261.795 259.756 257.378 254.703 251.162 246.958 242.303 237.423 232.475 226.825 220.862 215.397 210.214 203.322 201.57 
308.305 306.453 305.285 303.071 301.192 299.497 297.741 295.941 293.886 291.579 289.399 287.345 285.372 283.199 280.989 278.591 276.183 274.075 271.746 269.182 266.562 263.925 261.795 259.818 257.503 254.765 251.224 246.895 242.241 237.423 232.475 226.762 220.799 215.335 210.339 203.26 201.57 
308.242 306.203 305.347 303.071 301.005 299.184 297.491 295.878 293.949 291.704 289.461 287.345 285.31 283.136 280.864 278.529 276.121 274.075 271.809 269.245 266.625 263.925 261.795 259.881 257.628 254.89 251.224 246.895 242.241 237.423 232.475 226.762 220.674 215.272 210.339 203.26 201.57 
308.18 306.078 305.347 303.134 300.942 298.997 297.304 295.753 293.949 291.829 289.586 287.408 285.31 283.136 280.864 278.529 276.121 274.075 271.871 269.245 266.625 263.925 261.858 259.943 257.753 254.953 251.287 246.895 242.241 237.361 232.475 226.762 220.612 215.21 210.402 203.197 201.57 
307.992 306.14 305.347 303.071 300.88 298.934 297.241 295.691 293.949 291.767 289.586 287.47 285.372 283.199 280.927 278.529 276.183 274.137 271.871 269.245 266.625 263.925 261.92 259.943 257.815 255.015 251.349 246.958 242.178 237.361 232.475 226.762 220.549 215.147 210.464 203.197 201.508 
307.805 306.203 305.285 303.071 300.88 298.934 297.304 295.691 293.949 291.767 289.586 287.47 285.372 283.261 281.052 278.654 276.308 274.137 271.871 269.245 266.625 263.988 261.983 260.006 257.878 255.078 251.349 247.02 242.178 237.361 232.475 226.7 220.487 215.022 210.527 203.197 201.508 
307.617 306.203 305.16 302.946 300.817 298.997 297.429 295.753 293.886 291.704 289.524 287.47 285.497 283.386 281.177 278.779 276.433 274.2 271.871 269.245 266.687 264.05 262.045 260.068 257.94 255.14 251.412 247.02 242.241 237.361 232.475 226.7 220.424 214.96 210.527 203.26 201.445 
307.305 306.078 305.035 302.946 300.817 299.122 297.554 295.816 293.824 291.517 289.461 287.47 285.56 283.511 281.302 278.904 276.558 274.262 271.871 269.245 266.687 264.05 262.108 260.131 258.003 255.203 251.474 247.02 242.241 237.361 232.475 226.7 220.362 214.897 210.527 203.322 201.445 
306.992 305.828 304.972 302.884 300.88 299.309 297.679 295.816 293.636 291.329 289.336 287.47 285.622 283.636 281.489 279.091 276.683 274.325 271.809 269.182 266.625 264.05 262.17 260.193 258.003 255.203 251.474 247.083 242.241 237.361 232.412 226.637 220.299 214.835 210.527 203.385 201.383 
306.742 305.515 304.91 302.946 301.005 299.497 297.804 295.816 293.511 291.204 289.274 287.47 285.622 283.699 281.614 279.216 276.746 274.387 271.809 269.182 266.625 264.05 262.17 260.256 258.003 255.265 251.537 247.083 242.241 237.361 232.412 226.637 220.299 214.772 210.527 203.447 201.258 
306.555 305.328 304.847 303.009 301.255 299.622 297.866 295.691 293.386 291.079 289.211 287.408 285.622 283.761 281.739 279.279 276.808 274.387 271.871 269.182 266.625 264.05 262.233 260.256 258.003 255.328 251.537 247.083 242.303 237.298 232.35 226.7 220.299 214.71 210.527 203.51 201.195 
